epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5123.6,1.02792,1.29518,1.37519,0.70651,0.49408,0.58695,0.4237,1.06303,1.18195,1.41703,0.005842,0.005842,0.005842
44,5239.74,1.02437,1.26812,1.3695,0.6834,0.52836,0.58958,0.42136,1.0691,1.16226,1.41696,0.005743,0.005743,0.005743
45,5356.11,1.02134,1.23836,1.36505,0.77226,0.49067,0.61639,0.44296,1.04116,1.14458,1.40556,0.005644,0.005644,0.005644
46,5471.3,1.00256,1.22173,1.35615,0.69648,0.55593,0.63786,0.45134,1.09039,1.11817,1.42364,0.005545,0.005545,0.005545
47,5586.54,1.00379,1.20531,1.35154,0.67573,0.56851,0.61462,0.43828,1.05528,1.10131,1.4075,0.005446,0.005446,0.005446
48,5702.75,0.99608,1.18339,1.35256,0.71673,0.56504,0.63578,0.45442,1.0583,1.09727,1.40155,0.005347,0.005347,0.005347
49,5817.54,0.98415,1.16556,1.33117,0.69848,0.57436,0.63054,0.45912,1.00139,1.07266,1.36162,0.005248,0.005248,0.005248
50,5931.84,0.9997,1.17415,1.3452,0.67907,0.59273,0.65113,0.46966,0.98907,1.08409,1.35173,0.005149,0.005149,0.005149
51,6046.86,0.98409,1.16126,1.33899,0.68999,0.58292,0.64799,0.47096,1.0369,1.06991,1.39,0.00505,0.00505,0.00505
52,6162.12,0.97141,1.12472,1.3259,0.71716,0.5848,0.65279,0.47223,0.99647,1.03683,1.35387,0.004951,0.004951,0.004951
53,6279.15,0.98067,1.12163,1.33316,0.72802,0.61672,0.66936,0.4772,1.03916,1.01244,1.37652,0.004852,0.004852,0.004852
54,6396.85,0.96629,1.11182,1.33479,0.72213,0.5856,0.66844,0.48374,1.01514,1.04056,1.37083,0.004753,0.004753,0.004753
55,6515.52,0.9627,1.10207,1.32711,0.73258,0.58715,0.67484,0.48165,1.02184,1.01398,1.36746,0.004654,0.004654,0.004654
56,6632.8,0.93859,1.06255,1.30911,0.71478,0.59362,0.67218,0.48612,1.0071,0.99492,1.35547,0.004555,0.004555,0.004555
57,6751.13,0.94988,1.07377,1.31538,0.70212,0.61387,0.68767,0.5015,1.00601,0.95422,1.35722,0.004456,0.004456,0.004456
58,6870.62,0.95793,1.09575,1.32266,0.72247,0.608,0.68368,0.48982,1.0257,1.00297,1.37317,0.004357,0.004357,0.004357
59,6991.67,0.94644,1.06183,1.30765,0.73616,0.59977,0.67969,0.49719,0.98557,0.99376,1.34177,0.004258,0.004258,0.004258
60,7111.97,0.94223,1.04444,1.31272,0.73337,0.5858,0.68114,0.49809,0.99623,0.99965,1.3524,0.004159,0.004159,0.004159
61,7230.25,0.91864,1.00593,1.29474,0.73293,0.61384,0.70186,0.51125,0.98713,0.9577,1.33568,0.00406,0.00406,0.00406
62,7348.57,0.93336,1.01518,1.29834,0.74013,0.63128,0.70801,0.51995,0.98428,0.95095,1.33455,0.003961,0.003961,0.003961
63,7470.29,0.9262,1.02154,1.29677,0.70054,0.65104,0.70655,0.52307,0.95322,0.94313,1.31282,0.003862,0.003862,0.003862
64,7590.68,0.92666,0.99897,1.29741,0.68899,0.65461,0.704,0.51867,0.94119,0.95451,1.30681,0.003763,0.003763,0.003763
65,7710.95,0.92381,1.00137,1.29159,0.7308,0.64772,0.71402,0.52098,0.98941,0.93828,1.33914,0.003664,0.003664,0.003664
66,7830.41,0.91702,0.97846,1.29127,0.73179,0.66361,0.7267,0.53638,0.94974,0.8977,1.30466,0.003565,0.003565,0.003565
67,7950.72,0.90614,0.95864,1.28026,0.70856,0.67481,0.73037,0.53471,0.95755,0.88275,1.30904,0.003466,0.003466,0.003466
